country,keyword_en,keyword_pl,platform,traffic,search_ads
Poland,nutrition scanner,skaner żywieniowy,google_play,No Data,
Poland,nutrition scanner,skaner żywieniowy,app_store,No Data,-
Poland,carb counter,licznik węglowodanów,google_play,No Data,
Poland,carb counter,licznik węglowodanów,app_store,No Data,5
Poland,glucose tracker,monitorowanie glukozy,google_play,No Data,
Poland,glucose tracker,monitorowanie glukozy,app_store,No Data,-
Poland,keto tracker,monitorowanie keto,google_play,No Data,
Poland,keto tracker,monitorowanie keto,app_store,No Data,-
Poland,meal preparation,przygotowywanie posiłków,google_play,No Data,
Poland,meal preparation,przygotowywanie posiłków,app_store,No Data,-
Poland,grocery list,lista zakupów,google_play,No Data,
Poland,grocery list,lista zakupów,app_store,No Data,5
Poland,water reminder,przypomnienie o wodzie,google_play,4,
Poland,water reminder,przypomnienie o wodzie,app_store,4,15
Poland,hydration tracker,monitorowanie nawodnienia,google_play,No Data,
Poland,hydration tracker,monitorowanie nawodnienia,app_store,No Data,-
Poland,workout planner,planer treningów,google_play,No Data,
Poland,workout planner,planer treningów,app_store,No Data,-
Poland,gym log,dziennik siłowni,google_play,No Data,
Poland,gym log,dziennik siłowni,app_store,No Data,-
Poland,weightlifting tracker,monitorowanie podnoszenia ciężarów,google_play,No Data,
Poland,weightlifting tracker,monitorowanie podnoszenia ciężarów,app_store,No Data,-
Poland,strength training,trening siłowy,google_play,0,
Poland,strength training,trening siłowy,app_store,0,5
Poland,bodyweight workout,trening z ciężarem ciała,google_play,No Data,
Poland,bodyweight workout,trening z ciężarem ciała,app_store,No Data,-
Poland,hiit timer,timer hiit,google_play,No Data,
Poland,hiit timer,timer hiit,app_store,No Data,5
Poland,muscle builder,budowanie mięśni,google_play,No Data,
Poland,muscle builder,budowanie mięśni,app_store,No Data,-
Poland,pedometer,krokomierz,google_play,181,
Poland,pedometer,krokomierz,app_store,181,52
Poland,nutrition,odżywianie,google_play,No Data,
Poland,nutrition,odżywianie,app_store,No Data,5
Poland,nutrition calculator,kalkulator żywieniowy,google_play,No Data,
Poland,nutrition calculator,kalkulator żywieniowy,app_store,No Data,-
Poland,free nutrition tracking app,darmowa aplikacja do monitorowania odżywiania,google_play,No Data,
Poland,free nutrition tracking app,darmowa aplikacja do monitorowania odżywiania,app_store,No Data,-
Poland,nutrition tracker,monitorowanie odżywiania,google_play,No Data,
Poland,nutrition tracker,monitorowanie odżywiania,app_store,No Data,-
