country,keyword_en,keyword_es,platform,traffic,search_ads
mexico,hypertrophy,hipertrofia,AS,No Data,-
mexico,bodyweight training,entrenamiento con peso corporal,GP,No Data,
mexico,bodyweight training,entrenamiento con peso corporal,AS,No Data,-
mexico,weightlifting,levantamiento de pesas,GP,No Data,
mexico,weightlifting,levantamiento de pesas,AS,No Data,-
mexico,planner,planificador,GP,47,
mexico,planner,planificador,AS,47,5
mexico,food scanner,escáner de alimentos,GP,No Data,
mexico,food scanner,escáner de alimentos,AS,No Data,5
mexico,calories from photo,calorías de foto,GP,No Data,
mexico,calories from photo,calorías de foto,AS,No Data,-
mexico,nutrition scanner,escáner nutricional,GP,No Data,
mexico,nutrition scanner,escáner nutricional,AS,No Data,5
mexico,carb counter,contador de carbohidratos,GP,No Data,
mexico,carb counter,contador de carbohidratos,AS,No Data,5
mexico,glucose tracker,seguimiento de glucosa,GP,No Data,
mexico,glucose tracker,seguimiento de glucosa,AS,No Data,-
mexico,keto tracker,seguimiento keto,GP,No Data,
mexico,keto tracker,seguimiento keto,AS,No Data,-
mexico,meal preparation,preparación de alimentos,GP,No Data,
mexico,meal preparation,preparación de alimentos,AS,No Data,-
mexico,grocery list,lista de compras,GP,38,
mexico,grocery list,lista de compras,AS,38,5
mexico,water reminder,recordatorio de agua,GP,0,
mexico,water reminder,recordatorio de agua,AS,0,5
mexico,hydration tracker,seguimiento de hidratación,GP,No Data,
mexico,hydration tracker,seguimiento de hidratación,AS,No Data,-
mexico,workout planner,planificador de entrenamientos,GP,No Data,
mexico,workout planner,planificador de entrenamientos,AS,No Data,5
mexico,gym log,diario de gimnasio,GP,No Data,
mexico,gym log,diario de gimnasio,AS,No Data,-
mexico,weightlifting tracker,seguimiento de levantamiento de pesas,GP,No Data,
mexico,weightlifting tracker,seguimiento de levantamiento de pesas,AS,No Data,-
mexico,strength training,entrenamiento de fuerza,GP,0,
mexico,strength training,entrenamiento de fuerza,AS,0,5
mexico,bodyweight workout,rutina con peso corporal,GP,0,
mexico,bodyweight workout,rutina con peso corporal,AS,0,5
mexico,hiit timer,temporizador hiit,GP,No Data,
mexico,hiit timer,temporizador hiit,AS,No Data,5
