country,keyword_en,keyword_it,platform,traffic,search_ads
Italy,insulin,insulina,app_store,No Data,-
Italy,hydration,idratazione,google_play,No Data,
Italy,hydration,idratazione,app_store,No Data,5
Italy,steps,passi,google_play,13,
Italy,steps,passi,app_store,13,5
Italy,luteal phase,fase luteale,google_play,No Data,
Italy,luteal phase,fase luteale,app_store,No Data,-
Italy,ovulation,ovulazione,google_play,49,
Italy,ovulation,ovulazione,app_store,49,15
Italy,pcos,pcos,google_play,84,
Italy,pcos,pcos,app_store,3,5
Italy,pcos tracker,monitoraggio pcos,google_play,No Data,
Italy,pcos tracker,monitoraggio pcos,app_store,No Data,-
Italy,hypertrophy,ipertrofia,google_play,No Data,
Italy,hypertrophy,ipertrofia,app_store,No Data,-
Italy,bodyweight training,allenamento a corpo libero,google_play,No Data,
Italy,bodyweight training,allenamento a corpo libero,app_store,No Data,6
Italy,weightlifting,sollevamento pesi,google_play,No Data,
Italy,weightlifting,sollevamento pesi,app_store,No Data,-
Italy,planner,pianificatore,google_play,1,
Italy,planner,pianificatore,app_store,1,5
Italy,food scanner,scanner cibo,google_play,9,
Italy,food scanner,scanner cibo,app_store,9,5
Italy,calories from photo,calorie da foto,google_play,No Data,
Italy,calories from photo,calorie da foto,app_store,No Data,-
Italy,nutrition scanner,scanner nutrizionale,google_play,No Data,
Italy,nutrition scanner,scanner nutrizionale,app_store,No Data,5
Italy,carb counter,contatore carboidrati,google_play,No Data,
Italy,carb counter,contatore carboidrati,app_store,No Data,5
Italy,glucose tracker,monitoraggio glucosio,google_play,No Data,
Italy,glucose tracker,monitoraggio glucosio,app_store,No Data,-
Italy,keto tracker,monitoraggio keto,google_play,No Data,
Italy,keto tracker,monitoraggio keto,app_store,No Data,-
Italy,meal preparation,preparazione culinaria,google_play,No Data,
Italy,meal preparation,preparazione culinaria,app_store,No Data,-
Italy,grocery list,lista della spesa,google_play,223,
Italy,grocery list,lista della spesa,app_store,223,5
Italy,water reminder,promemoria acqua,google_play,62,
Italy,water reminder,promemoria acqua,app_store,62,19
Italy,hydration tracker,monitoraggio idratazione,google_play,No Data,
Italy,hydration tracker,monitoraggio idratazione,app_store,No Data,-
Italy,workout planner,pianificatore allenamento,google_play,No Data,
Italy,workout planner,pianificatore allenamento,app_store,No Data,-
Italy,gym log,diario palestra,google_play,0,
Italy,gym log,diario palestra,app_store,0,5
Italy,weightlifting tracker,monitoraggio sollevamento pesi,google_play,No Data,
Italy,weightlifting tracker,monitoraggio sollevamento pesi,app_store,No Data,-
Italy,strength training,allenamento della forza,google_play,No Data,
Italy,strength training,allenamento della forza,app_store,No Data,5
Italy,bodyweight workout,workout a corpo libero,google_play,No Data,
Italy,bodyweight workout,workout a corpo libero,app_store,No Data,-
Italy,hiit timer,timer hiit,google_play,No Data,
Italy,hiit timer,timer hiit,app_store,No Data,5
Italy,muscle builder,costruzione muscolare,google_play,No Data,
Italy,muscle builder,costruzione muscolare,app_store,No Data,-
Italy,pedometer,contapassi,google_play,212,
Italy,pedometer,contapassi,app_store,212,5
Italy,nutrition,nutrizione,google_play,7,
Italy,nutrition,nutrizione,app_store,7,5
Italy,nutrition calculator,calcolatore nutrizionale,google_play,No Data,
Italy,nutrition calculator,calcolatore nutrizionale,app_store,No Data,5
Italy,free nutrition tracking app,app monitoraggio nutrizione gratis,google_play,No Data,
Italy,free nutrition tracking app,app monitoraggio nutrizione gratis,app_store,No Data,-
Italy,nutrition tracker,monitoraggio nutrizione,google_play,No Data,
Italy,nutrition tracker,monitoraggio nutrizione,app_store,No Data,-
