GERMAN,KEYWORDS,GOOGLE,APPLE,SEARCH ADS,,,
,kalorientracker,0,0,,,,
,sante,23,3,,,,
,Compteur de Calories,6,0,,,,
,courir,6,0,,,,
,health,175,541,,,,
,sleep,107,129,,,,
,calorie tracker,21,240,,,,
,sleep,106,129,,,,
,gym,116,116,,,,
,meditation,37,151,,,,
,habit,54,65,,,,
,fasting,57,69,,,,
,fitness,240,no data,,,,
,diet,6,1,,,,
,weight,2,0,,,,
,run,155,20,,,,
,exercise,0,0,,,,
,macro ,10,1,,,,
,macros,19,19,,,,
,macro tracker,1,1,,,,
,habit tracker,167,218,,,,
,women,6,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Austria,sleep,91,117,,,,
,gym,85,112,,,,
,meditation,32,137,,,,
,habit,80,106,,,,
,fasting,4,3,,,,
,diet,1,2,,,,
,weight,8,10,,,,
,run,80,11,,,,
,health,227,200,,,,
,exercise,0,0,,,,
,macro,0,0,,,,
,macros,0,0,,,,
,macro tracker,0,1,,,,
,habit tracker ,206,256,,,,
,women,12,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dutch,sport,,97,,,,
,dieet,53,7,,,,
,eten,159,155,,,,
,training,64,56,,,,
,slaap,80,113,,,,
,sportschool,0,0,,,,
,vasten,2,2,,,,
,gewicht,3,2,,,,
,calorieënteller,630,416,,,,66
,,,,,,,54
,calorie,100,304,,,,52
,calorie,238,213,,,,41
,macro,220,197,,,,39
,,,,,,,
,fitness,235,336,,,,
,stemming,0,2,,,,
,mood,34,123,,,,
,maaltijd,4,0,,,,
,tracker,69,205,,,,
,gewoontes,0,1,,,,
,gewoonte,1,0,,,,
,water,232,213,,,,
,coach,224,205,,,,
,boodschappenlijstje,105,105,,,,
,focus,258,223,,,,
,coach,204,197,,,,
,voeding,80,18,,,,
,nutrition,4,1,,,,
,koken,168,157,,,,
,Gewichtsdagboek,1,2,,,,
,Gewichtsmonitor,0,0,,,,
,Stappenteller,315,248,,,,
,Wandelen,120,117,,,,
,bmi,106,105,,,,
,bmi calculator,147,146,,,,
,periode,4,0,,,,
,menstruatie,147,146,,,,
,fietsen,62,12,,,,
,wielrennen,135,20,,,,
,meditatie,15,34,,,,
,workout,239,321,,,,
,sleep,276,239,,,,
,sleep recorder,259,,,,,
,sleep cycle,314,277,,,,
,gym,232,105,,,,
,meditation,77,223,,,,
,habit,220,197,39,,,
,habit tracker,74,277,,,,
,fasting,196,176,,,,
,diet,3,2,,,,
,weight,2,53,,,,
,run,303,109,,,,
,health,336,336,,,,
,exercise,2,2,,,,
,macros,0,0,,,,
,macro tracker,3,1,,,,
,women,4,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
BELGIUM,Stappenteller,86,115,,,,
,Wandelen,33,51,,,,
,calorieënteller,12,0,,,,
,workout,94,111,,,,
,sleep,119,154,,,,
,gym,88,105,,,,
,meditation,34,148,,,,
,habit,30,48,,,,
,tracker,30,134,,,,
,fasting,33,46,,,,
,diet,30,49,,,,
,weight,0,4,,,,
,run,120,15,,,,
,health,231,231,,,,
,exercise,1,1,,,,
,macro,17,10,,,,
,macros,0,2,,,,
,macro tracker,2,2,,,,
,habit tracker,94,128,,,,
,women,0,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
sweeden,,,,,,,
,,,,,,,
,,,,,,,
,music,161,327,,,,
,sleep,194,217,,,,
,mindfulness,56,183,,,,
,stress,37,130,,,,
,mental health,104,110,,,,
,Kalori,63,76,,,,
,Makro,5,0,,,,
,Träning,,216,,,,
,Cykel,158,174,,,,
,sport,271,225,,,,
,diet,5,3,,,,
,män,0,0,,,,
,fasta,35,16,,,,
,sömn,96,93,,,,
,men,9,0,,,,
,mens,68,107,,,,
,vikt,110,116,,,,
,hälsa,,547,,,,
,näring,0,0,,,,
,löpning,,193,,,,
,gym,133,298,,,,
,klimakteriet,32,3,,,,
,vatten,,2,,,,
,muskler,,2,,,,
,mat,193,219,,,,
,logg,5,0,,,,
,steg,70,13,,,,
,träning,209,216,,,,
,meditation,154,183,,,,
,habit,82,84,,,,
,period,70,68,,,,
,tracker,70,68,,,,
,vana,5,0,,,,
,scanner,181,354,,,,
,vanor,26,13,,,,
,spårare (tracker),,,,,,
,diet,4,3,,,,
,kör,49,44,,,,
,protein,0,2,,,,
,eating,0,2,,,,
,ätande,0,0,,,,
,fitness,134,386,,,,
,kalori,98,61,,,,
,kalorier,0,3,,,,
,Kaloriräknaren,0,0,,,,
,aktivitetsmätare,0,0,,,,
,tränare,5,0,,,,
,makro,5,1,,,,
,sport,270,297,,,,
,löpning,168,193,,,,
,fokus,87,87,,,,
,inköpslista,110,120,,,,
,recept,111,115,,,,
,matlagning,26,21,,,,
,träningsdagbok,87,87,,,,
,stämning,0,0,,,,
,humör,5,0,,,,
,mood,13,0,,,,
,vatten,5,2,,,,
,stegräknare,11,6,,,,
,workout,248,321,,,,
,sleep,193,216,,,,
,gym,128,297,,,,
,meditation,166,181,,,,
,habit,82,81,,,,
,habit tracker,226,,,,,
,fasting,153,171,,,,
,diet,5,3,,,,
,weight,9,4,,,,
,run,224,237,,,,
,exercise,1,2,,,,
,macro,26,7,,,,
,macros,26,6,,,,
,macro tracker,0,0,,,,
,habit tracker,177,226,,,,
,women,0,0,,,,
,cycle,5,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
norway,Helse,118,1,,,,
,fitness,18,105,,,,
,gym,49,86,,,,
,sport,105,60,,,,
,mat,67,110,,,,
,treningssenter,8,0,,,,
,treningsdagbok,63,80,,,,
,meditation,18,115,,,,
,vekt,39,68,,,,
,sykkel,9,6,,,,
,oppskrifter,1,5,,,,
,sporingsverktøy,0,0,,,,
,vane,8,0,,,,
,vaner,0,0,,,,
,habits,12,9,,,,
,habit,8,0,,,,
,Kaloriteller,97,190,,,,
,Kalori,8,4,,,,
,Kaloridag,0,0,,,,
,Syklus,0,6,,,,
,makroer,0,0,,,,
,søvn,28,49,,,,
,løp,10,2,,,,
,kalori,7,3,,,,
,humør,8,0,,,,
,å løpe,0,0,,,,
,løpe,22,4,,,,
,løping,0,0,,,,
,fottur,0,0,,,,
,sykling,0,0,,,,
,workout,108,159,,,,
,sleep,92,150,,,,
,gym,50,87,,,,
,meditation,22,115,,,,
,habit,7,4,,,,
,tracker,106,151,,,,
,fasting,77,120,,,,
,norway,18,23,,,,
,weight,18,30,,,,
,run,47,81,,,,
,health,53,52,,,,
,exercise,8,1,,,,
,macro,8,0,,,,
,macros,3,3,,,,
,macro tracker,0,10,,,,
,habit tracker ,147,180,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
usa,,,,,,,
,,,,,,,
,,,,,,,
,,193,237,,,,
,ai fitness,79,35,,,,
,food,1774,5100,,.,,
,workout,3597,3388,,.,,
,sleep,991,1985,,.,,
,gym,1237,1487,,.,,
,meditation,278,1209,,.,,
,habit,624(1500 in june),1174,,.,,
,period,1386,1164,,.,,
,habits,106,372,,.,,
,period,1386,1164,,.,,
,tracker,379,917,,.,,
,fasting,1163,869,,.,,
,diet,518,488,,.,,
,weight,600,460,,.,,
,run,1675,519,,.,,
,protein,179,215,,.,,
,health,3498,5239,,.,,
,eating,214,266,,.,,
,AI Calorie,165,80,,.,,
,AI Calories,0,0,,.,,
,AI nutrition,0,0,,.,,
,ai food,0,0,,,,
,meal scanner,2,2,,,,
,exercise,483,184,,.,,
,exercises,53,76,,,,
,macro,976,301,,.,,
,macros,246,655,,.,,
,macros tracker,,111,,.,,
,macro tracker,249,1192,,.,,
,meal tracker,278,500,,.,,
,meal tracker free,255,,,,,
,Habit tracker,986,1985,,.,,
,women's health,1,0,,,,
,women health,2,4,,,,
,women ,230,79,,.,,
,mestruation,0,0,,.,,
,Cycle ,374,312,,.,,
,GPS Fitness,0,0,,,,
,ai coach,63,92,,,,
,motivation,734,2282,,.,,
,sport,1514,467,,.,,
,brain games,1406,2834,,.,,
,cognitive games,181,229,,.,,
,brain training ,68,267,,.,,
,plan personalizado,1,0,,,,
,nutrition plan,1,0,,,,
,fitness plan,57,69,,,,
,fitness plans,0,0,,,,
,crossfit,86,318,,.,,
,pilates,879,756,,,,
,yoga,472,866,,,,
,cycling,210,252,,,,
,cycling tracker,211,249,,,,
,bmi,951,807,,,,
,bmi calculator,955,1300,,,,
,brain,241,241,,,,
,cooking,2991 no health apps,2501,,,,
,recipes ,557,193,,,,
,meals,79,111,,,,
,cook,1065,322,,,,
,dinner,5,0,,,,
,breakfast,0,0,,,,
,lunch,,,,,,
,prep,6,0,,,,
,healthy,232,92,,,,
,bodybuilding,7,0,,,,
,scanner (only 1 food related),1426,2576,,,,
,keto,333,353,,,,
,ketosis,0,2,,,,
,glucose,94,336,,,,
,insulin,1,0,,,,
,hydration,57,86,,,,
,steps,328,1618,,,,
,luteal,0,0,,,,
,ovulation,3,4,,,,
,pcos,9,7,,,,
,pcos tracker ,41,,,,,
,lifting,140,186,,,,
,hypertrophy,158,187,,,,
,calisthenics,799,862,,,,
,planner,394,2000,,,,
,food scanner,320,894,,,,
,photo calorie,1,1,,,,
,nutrition scanner,179,222,,,,
,carb counter,181,266,,,,
,glucose tracker,125,164,,,,
,keto tracker,209,247,,,,
,meal prep,80,311,,,,
,grocery list,227,311,,,,
,water reminder,976,764,,,,
,hydration tracker,193,238,,,,
,workout planner,249,1354,,,,
,gym log,111,153,,,,
,lifting tracker,1,3,,,,
,strength training,68,273,,,,
,bodyweight workout,57,85,,,,
,hiit timer,288,318,,,,
,muscle builder,1,3,,,,
,step counter,1107,2274,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
FRENCH,Calories,101,713,,,,
,Macros IA,0,0,,,,
,sport,741,1332,,,,
,regles,145,22,,,,
,jeune,71,90,,,,
,fitness,85,636,,,,
,sommeil,176,514,,,,
,poids,145,150,,,,
,sante,852,1072,,,,
,nutrition,226,209,,,,
,running,361,775,,,,
,femme,4,6,,,,
,calculateur,37,32,,,,
,coaching,0,6,,,,
,cuisine,432,294,,,,
,liste de courses,19,5,,,,
,shopping,223,138,,,,
,courses,22,29,,,,
,focus,136,390,,,,
,focal,4,0,,,,
,coach,239,107,,,,
,macro,211,252,,,,
,regime,155,144,,,,
,regime alimentaire,0,8,,,,
,Compteur de Calories,396,498,,,,
,mental,14,4,,,,
,compte-calories,0,0,,,,
,Calorie et Régime,5,0,,,,
,compte calories,5,0,,,,
,bien-être,0,0,,,,
,santé mentalo,0,0,,,,
,Humeur,1,1,,,,
,mental,14,4,,,,
,motivation,53,366,,,,
,cerveau,40,52,,,,
,bien être,0,0,,,,
,habitude,5,2,,,,
,eau,5,1,,,,
,humeur,0,1,,,,
,vélo,42,12,,,,
,méditation,4,0,,,,
,meditation,91,365,,,,
,bienêtre,0,0,,,,
,course,178,592,,,,
,course a pied,91,683,,,,
,courir,503,683,,,,
,randonnée,7,0,,,,
,SLEEP,230,266,,,,
,sleep recorder,230,266,,,,
,workout,117,268,,,,
,gym,281,322,,,,
,habit,211,254,,,,
,habit tracker,324,392,,,,
,tracker,73,285,,,,
,fasting,41,150,,,,
,diet,52,60,,,,
,weight,56,64,,,,
,run,312,35,,,,
,health,223,443,,,,
,exercise,2,2,,,,
,macro,252,252,,,,
,macros,201,201,,,,
,macro tracker,2,2,,,,
,habit tracker,324,392,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ESPANISH,workout,56,199,,,,
,calorías,30,9,,,,
,macro,226,94,,,,
,sugar,7,8,,,,
,azúcar,1,0,,,,
,sueño,121,141,,,,
,dormir ,58,75,,,,
,ciclo,6,2,,,,
,Regla,279,294,,,,
,ayuno,113,116,,,,
,entrenamiento,106,103,,,,
,nutrición,0,0,,,,
,nutricion,67,65,,,,
,Plan de Dieta,,,,,,
,Contador de Calorías,,,,,,
,hábito,4,0,,,,
,hábitos,10,1,,,,
,habitos,79,96,,,,
,wellness,10,16,,,,
,bienestar,5,13,,,,
,hormona,4,0,,,,
,hormonas,6,0,,,,
,weight,,7,,,,
,peso,112,132,,,,
,peso diario,6,2,,,,
,tareas,5,2,,,,
,mental,32,3,,,,
,jogos mentales ,0,0,,,,
,entrenos,2,0,,,,
,dieta,143,142,,,,
,Plan de comidas,2,2,,,,
,menu semanal,8,2,,,,
,recetas,101,129,,,,
,plan nutricional,2,0,,,,
,plan de entrenamiento,0,2,,,,
,plan personalizado,0,0,,,,
,mujer,4,0,,,,
,salud mujer,0,0,,,,
,bmi,40,116,,,,
,imc calculadora,278,116,,,,
,imc,102,116,,,,
,recomposicion,0,0,,,,
,cerebro,8,4,,,,
,rastreador de macros,6,2,,,,
,Entrenamiento para mujeres,6,2,,,,
,pedalear,0,0,,,,
,caminar,46,52,,,,
,corrida,4,2,,,,
,correr,373,336,,,,
,rutinas ,0,0,,,,
,Ejercicios,106,103,,,,
,Rutinas Gym,36,141,,,,
,Rutinas ,3,0,,,,
,Rutinas Gimnasio IA,0,0,,,,
,bodybuilding,17,3,,,,
,grasa,0,0,,,,
,corre,9,2,,,,
,camina,2,0,,,,
,pedalea,0,0,,,,
,sueño,125,141,,,,
,sleep,174,188,,,,
,gym,281,490,,,,
,meditation,1,3,,,,
,habit ,258,259,,,,
,tracker,49,178,,,,
,fasting,82,96,,,,
,diet,4,0,,,,
,weight,no data,4,,,,
,run,163,26,,,,
,health,331,332,,,,
,exercise,2,2,,,,
,macro,94,94,,,,
,macros,382,378,,,,
,macro tracker,0,2,,,,
,Habit tracker,289,293,,,,
,,,,,,,
Brazil,workout,759,148,,,,
,treino,3008,2292,,,,
,treinos,96,196,,,,
,treino academia,391,1097,,,,
,exercício,56,111,,,,
,exercicio,348,21,,,,
,sono,1143,569,,,,
,dormir,178,119,,,,
,monitor de sono,63,44,,,,
,descanso ,0,0,,,,
,gym,1368,661,,,,
,ginasio ,0,0,,,,
,Academia,1247,1011,,,,
,saude,1454,1524,,,,
,lembrete,1,0,,,,
,corrida,1560,1655,,,,
,caminhada,262,454,,,,
,correr,247,421,,,,
,musculação,0,7,,,,
,musculacao,178,13,,,,
,meditação,30,219,,,,
,habito,0,0,,,,
,hábito,268,18,,,,
,hábitos,268,18,,,,
,habitos,104,205,,,,
,rotinas,0,0,,,,
,período,0,0,,,,
,periodo,0,6,,,,
,mestrual,0,0,,,,
,menstruação,15,0,,,,
,jejum,11,15,,,,
,jejum intermitente,1460,931,,,,
,dieta,873,454,,,,
,peso,189,128,,,,
,Proteina ,0,2,,,,
,saúde,84,19,,,,
,saude,1454,1524,,,,
,comer,0,3,,,,
,calorias ai,6,0,,,,
,macros,759,391,,,,
,macro ,0,0,,,,
,Contador de Calorias,296,861,,,,
,Diário alimentar,6,6,,,,
,Diario alimentar,63,44,,,,
,alimentar,0,0,,,,
,feminina,0,0,,,,
,mulher,111,10,,,,
,saúde da mulher,0,0,,,,
,treinador ,111,88,,,,
,nutrição com IA,0,0,,,,
,nutrição IA,0,0,,,,
,cérebro,35,1,,,,
,cerebro,139,103,,,,
,mental,0,14,,,,
,saude mental,0,0,,,,
,cognitivos,0,0,,,,
,mente,57,49,,,,
,jogos mentais,206,138,,,,
,plano personalizado,0,0,,,,
,personalizado,0,0,,,,
,plano,6,6,,,,
,plano de treino,6,0,,,,
,pilates,246,160,,,,
,yoga,551,304,,,,
,ciclismo,0,64,,,,
,IMC,319,196,,,,
,culinária,9,0,,,,
,receita,2,8,,,,
,receitas ,0,0,,,,
,comidas,1,1,,,,
,diet,0,135,,,,
,weight,99,65,,,,
,run,1161,32,,,,
,running,1191,,,,,
,health,490,490,,,,
,exercise,6,0,,,,
,exercises,0,0,,,,
,macro,470,0,,,,
,macros,391,391,,,,
,macro tracker,6,0,,,,
,macro tracker,6,0,,,,
,Habit tracker,247,422,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
canada,,,,,,,
,,,,,,,
,gym planner ,3,1,,,,
,food,295,821,,,,
,workout,213,737,,,,
,sleep,175,642,,,,
,gym,163,591,,,,
,meditation,259,460,,,,
,habit,207,352,,,,
,habits,55,100,,,,
,period,228,401,,,,
,habits,68,,,,,
,tracker,68,402,,,,
,fasting,217,376,,,,
,diet,77,125,,,,
,weight,93,107,,,,
,run,187,31,,,,
,protein,0,1,,,,
,health,399,1317,,,,
,eating,7,2,,,,
,AI Calorie,0,0,,,,
,AI Calories,0,0,,,,
,exercise,64,100,,,,
,macro,145,23,,,,
,macros,52,69,,,,
,macros tracker,4,0,,,,
,macro tracker,120,404,,,,
,meal tracker,82,133,,,,
,Habit tracker,111,694,,,,
,women ,6,0,,,,
,mestruation,0,0,,,,
,Cycle ,49,274,,,,
,motivation,207,352,,,,
,sport,312,179,,,,
,brain games,228,401,,,,
,cognitive games,1,4,,,,
,brain training ,32,77,,,,
,crossfit,46,8,,,,
,pilates,173,292,,,,
,yoga,217,376,,,,
,cycling,66,83,,,,
,cycling tracker,0,0,,,,
,bmi,217,207,,,,
,bmi calculator,217,62,,,,
,brain,228,401,,,,
,recipes ,77,123,,,,
,cook,122,20,,,,
,healthy,5,0,,,,
,scanner,204,992,,,,
,glucose,5,0,,,,
,insulin,5,0,,,,
,hydration,5,0,,,,
,steps,65,43,,,,
,steps app,65,43,,,,
,lifting,5,6,,,,
,hypertrophy,0,0,,,,
,nutrition scanner,5,0,,,,
,food scanner,46,264,,,,
,carb counter,31,47,,,,
,glucose tracker,,,,,,
,keto tracker,0,0,,,,
,meal prep,2,4,,,,
,grocery list,287,458,,,,
,water reminder,55,312,,,,
,hydration tracker,0,0,,,,
,workout planner,,,,,,
,gym log,24,10,,,,
,lifting tracker,,,,,,
,strength training,,,,,,
,bodyweight workout,5,0,,,,
,hiit timer,41,57,,,,
,step counter,135,461,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
UK,keto,85,122,,,,
,ketosis,5,o,,,,
,glucose,1,2,,,,
,insulin,5,0,,,,
,hydration,0,2,,,,
,steps,560,1185,,,,
,lifting,2,12,,,,
,hypertrophy,0,0,,,,
,calisthenics,0,0,,,,
,planner,62,833,,,,
,food scanner ,96,594,,,,
,photo calorie ,0,0,,,,
,nutrition scanner,5,0,,,,
,carb counter,43,63,,,,
,glucose tracker,3,0,,,,
,keto tracker,0,0,,,,
,meal prep,2,4,,,,
,grocery list,5,0,,,,
,water reminder,207,280,,,,
,hydration tracker,0,0,,,,
,workout planner,86,489,,,,
,gym log,34,48,,,,
,lifting tracker,4,0,,,,
,strength training,2,1,,,,
,bodyweight workout,5,0,,,,
,hiit timer,21,23,,,,
,step counter,228,1293,,,,
,gym planner ,162,150,,,,
,food (no health and fitness stuff),93,1284,,,,
,workout,406,989,,,,
,workout planner,,490,,,,
,workout tracker,,628,,,,
,sleep,294,908,,,,
,gym,340,1177,,,,
,meditation,284,491,,,,
,habit,236,381,,,,
,habits,85,122,,,,
,period,279,489,,,,
,tracker,10,22,,,,
,fasting,324,532,,,,
,diet,127,173,,,,
,weight,68,169,,,,
,run,389,64,,,,
,health,465,148,,,,
,eating,25,19,,,,
,exercise,112,158,,,,
,exercises,5,5,,,,
,macro,227,28,,,,
,macros,49,242,,,,
,macros tracker,6,0,,,,
,macro tracker,171,356,,,,
,Habit tracker,175,990,,,,
,Cycle ,91,1,,,,
,motivation,58,187,,,,
,sport,390,239,,,,
,brain games,383,578,,,,
,cognitive games,0,0,,,,
,brain training ,54,683,,,,
,crossfit,6,2,,,,
,pilates,267,350,,,,
,cycling,37,29,,,,
,cycling tracker,50,75,,,,
,bmi,167,242,,,,
,bmi calculator,319,578,,,,
,brain,262,453,,,,
,recipes ,99,140,,,,
,cook,299,51,,,,
,healthy,0,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
australia,glucose,0,4,,,,
,insulin,22,7,,,,
,hydration,0,1,,,,
,steps,49,213,,,,
,lifting,2,3,,,,
,hypertrophy,0,0,,,,
,calisthenics,124,136,,,,
,planner,78,212,,,,
,food scanner,35,137,,,,
,nutrition scanner,5,7,,,,
,carb counter,28,38,,,,
,glucose tracker,28,0,,,,
,keto tracker,0,0,,,,
,meal prep,0,4,,,,
,grocery list,80,135,,,,
,water reminder,78,152,,,,
,hydration tracker,0,0,,,,
,workout planner,92,172,,,,
,gym log,1,2,,,,
,lifting tracker,,,,,,
,strength training,22,30,,,,
,bodyweight workout,0,0,,,,
,hiit timer,35,45,,,,
,step counter,38,213,,,,
,gym planner ,32,42,,,,
,food,66,296,,,,
,workout,119,229,,,,
,sleep,127,253,,,,
,gym,120,261,,,,
,meditation,52,178,,,,
,habit,80,164,,,,
,habits,43,54,,,,
,period ,186,183,,,,
,tracker,52,171,,,,
,fasting,141,148,,,,
,diet,64,78,,,,
,weight,36,31,,,,
,run,193,19,,,,
,health,214,370,,,,
,eating,25,19,,,,
,exercise,61,73,,,,
,exercises,4,0,,,,
,macro,130,57,,,,
,macros,61,73,,,,
,macros tracker,2,4,,,,
,macro tracker,96,152,,,,
,meal tracker,61,73,,,,
,Habit tracker,120,241,,,,
,Cycle ,36,38,,,,
,motivation,58,187,,,,
,sport,69,80,,,,
,brain games,383,578,,,,
,cognitive games,2,2,,,,
,brain training ,41,148,,,,
,crossfit,28,33,,,,
,pilates,169,172,,,,
,cycling,35,46,,,,
,cycling tracker,31,13,,,,
,bmi,84,101,,,,
,bmi calculator,153,154,,,,
,brain,162,158,,,,
,recipes ,54,65,,,,
,cook,82,11,,,,
,healthy,5,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
NEW ZEALAND,glucose,4,0,,,,
,insulin,5,0,,,,
,lifting,8,1,,,,
,hypertrophy,0,0,,,,
,calisthenics,19,22,,,,
,planner,146,147,,,,
,food scanner ,0,0,,,,
,carb counter,,,,,,
,keto tracker	,0,0,,,,
,meal prep,28,3,,,,
,grocery list,0,2,,,,
,water reminder,2,0,,,,
,hydration tracker,0,0,,,,
,workout planner,22,75,,,,
,gym log,1,0,,,,
,lifting tracker,,,,,,
,strength training,0,0,,,,
,bodyweight workout,0,0,,,,
,hiit timer,19,22,,,,
,step counter,127,129,,,,
,gym planner ,5,0,,,,
,food,116,124,,,,
,workout,155,147,,,,
,sleep,141,142,,,,
,gym,75,75,,,,
,meditation,111,119,,,,
,habit,29,103,,,,
,habits,5,0,,,,
,period,45,45,,,,
,tracker,10,22,,,,
,fasting,119,124,,,,
,diet,23,4,,,,
,weight,5,0,,,,
,run,100,10,,,,
,health,98,189,,,,
,eating,5,0,,,,
,exercise,1,1,,,,
,exercises,5,0,,,,
,macro,34,33,,,,
,macros,5,0,,,,
,macros tracker,0,0,,,,
,macro tracker,22,25,,,,
,meal tracker,19,3,,,,
,Habit tracker,167,161,,,,
,cycle,8,1,,,,
,motivation,90,94,,,,
,sport,48,6,,,,
,brain games,162,147,,,,
,cognitive games,0,0,,,,
,brain training ,48,14,,,,
,crossfit,5,0,,,,
,pilates,36,40,,,,
,yoga,73,75,,,,
,cycling,30,4,,,,
,cycling tracker,0,0,,,,
,bmi,8,4,,,,
,bmi calculator,110,119,,,,
,brain,53,99,,,,
,recipes ,no data,2,,,,
,cook,28,3,,,,
,healthy,5,0,,,,
DENMARK,workout,152,253,,,,
,gym,34,6,,,,
,period,1,2,,,,
,period tracker,187,,,,,
,fasting,107,185,,,,
,diet,4,4,,,,
,weight,29,43,,,,
,run,156,26,,,,
,running(to query for all languages),,,,,,
,health,66,253,,,,
,exercise,0,0,,,,
,macro,4,4,,,,
,macros,8,1,,,,
,macro tracker ,1,2,,,,
,Habit tracker,78,142,,,,
